generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
59,5.968200,5.945600,24.30,3741.94
60,5.968200,5.945400,119.09,3861.02
61,5.968200,5.947000,26.55,3887.57
62,6.045600,6.045600,24.67,3912.24
63,6.045600,5.877200,24.39,3936.63
64,6.045600,6.014600,24.51,3961.14
65,6.045600,5.897400,24.29,3985.43
66,6.045600,6.030400,24.54,4009.97
67,6.045600,5.978800,24.62,4034.59
68,6.045600,6.040000,24.56,4059.15
69,6.081800,6.081800,24.69,4083.84
70,6.081800,6.054600,117.86,4201.69
71,6.139600,6.139600,26.35,4228.05
72,6.139600,6.057000,25.09,4253.13
73,6.176200,6.176200,24.54,4277.67
74,6.207400,6.207400,24.72,4302.39
75,6.207400,6.159400,24.66,4327.05
76,6.280600,6.280600,24.81,4351.86
77,6.280600,6.165400,24.61,4376.47
78,6.280600,6.258000,54.75,4431.21
79,6.280600,6.249600,24.48,4455.70
80,6.280600,6.238000,117.44,4573.13
81,6.280600,6.231200,27.48,4600.61
82,6.280600,6.225600,24.53,4625.15
83,6.345000,6.345000,24.47,4649.61
84,6.345000,6.307600,24.63,4674.24
85,6.353400,6.353400,24.37,4698.61
86,6.557000,6.557000,24.20,4722.82
87,6.557000,6.481000,25.53,4748.34
88,6.557000,6.542200,24.50,4772.84
89,6.625600,6.625600,24.37,4797.21
90,6.625600,6.534400,117.12,4914.33
91,6.625600,6.583000,26.68,4941.02
92,6.625600,6.569000,25.02,4966.03
93,6.625600,6.576400,24.38,4990.41
94,6.629200,6.629200,24.58,5014.99
95,6.629200,6.612800,24.46,5039.45
96,6.693600,6.693600,24.36,5063.80
97,6.693600,6.677600,24.54,5088.35
98,6.750200,6.750200,24.49,5112.84
99,6.750200,6.729000,24.53,5137.37
100,6.750200,6.731000,117.05,5254.42
101,6.750200,6.704800,25.59,5280.01
102,6.881600,6.881600,24.76,5304.77
103,6.881600,6.713600,24.41,5329.18
104,6.902800,6.902800,24.47,5353.64
105,6.902800,6.801000,24.52,5378.16
106,6.902800,6.879400,24.38,5402.54
107,6.902800,6.849000,24.55,5427.09
108,6.902800,6.881200,24.57,5451.66
109,6.902800,6.709400,24.29,5475.95
110,6.902800,6.783200,118.84,5594.80
111,6.944800,6.944800,26.69,5621.49
112,6.944800,6.874200,24.63,5646.12
113,6.944800,6.915800,24.49,5670.60
114,6.974600,6.974600,24.44,5695.05
115,7.045200,7.045200,24.66,5719.71
116,7.045200,7.039200,24.70,5744.41
117,7.045200,6.954200,57.34,5801.74
118,7.045200,7.001200,24.67,5826.42
119,7.106800,7.106800,24.76,5851.17
120,7.106800,7.094400,117.67,5968.84
121,7.106800,7.002800,26.08,5994.92
122,7.106800,7.043600,25.09,6020.01
123,7.106800,7.062000,24.89,6044.90
124,7.188000,7.188000,24.43,6069.33
125,7.188000,7.100400,24.38,6093.71
126,7.188000,7.163600,24.38,6118.09
127,7.188000,7.154200,24.96,6143.05
128,7.188000,7.142800,24.55,6167.60
129,7.212800,7.212800,24.58,6192.17
130,7.223400,7.223400,119.90,6312.08
131,7.286800,7.286800,26.67,6338.75
132,7.294200,7.294200,24.71,6363.46
133,7.295200,7.295200,24.81,6388.27
134,7.295200,7.213200,24.77,6413.05
135,7.295200,7.281800,24.75,6437.80
136,7.314200,7.314200,24.33,6462.13
137,7.314200,7.227600,24.84,6486.97
138,7.314200,7.235800,24.47,6511.44
139,7.314200,7.262600,24.45,6535.89
140,7.314200,7.182800,120.61,6656.50
141,7.314200,7.238800,25.78,6682.28
142,7.314200,7.262600,24.69,6706.98
143,7.348400,7.348400,24.96,6731.94
144,7.348400,7.293200,26.09,6758.03
145,7.348400,7.265200,24.56,6782.59
146,7.348400,7.296200,24.93,6807.52
147,7.348400,7.264600,24.63,6832.15
148,7.348400,7.347000,24.50,6856.66
149,7.366600,7.366600,24.26,6880.92
150,7.366600,7.345800,121.51,7002.43
151,7.426200,7.426200,26.92,7029.35
152,7.426200,7.393800,25.05,7054.40
153,7.426200,7.415000,25.08,7079.48
154,7.521400,7.521400,24.72,7104.20
155,7.521400,7.452000,24.92,7129.13
156,7.521400,7.482200,57.40,7186.52
157,7.521400,7.454400,24.86,7211.38
158,7.521400,7.483400,24.98,7236.36
159,7.521400,7.492600,24.87,7261.24
160,7.549200,7.549200,119.05,7380.29
161,7.549200,7.486200,26.87,7407.16
162,7.549200,7.502800,25.21,7432.37
