generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
285,7.781200,7.736200,24.53,11834.60
286,7.818400,7.818400,24.15,11858.75
287,7.832200,7.832200,24.53,11883.28
288,7.832200,7.791400,24.23,11907.50
289,7.855600,7.855600,24.43,11931.93
290,7.855600,7.778000,132.32,12064.25
291,7.855600,7.851000,24.97,12089.22
292,7.862600,7.862600,24.34,12113.56
293,7.862600,7.812400,24.66,12138.22
294,7.862600,7.798400,24.40,12162.62
295,7.862600,7.820600,24.32,12186.93
296,7.862600,7.837800,24.17,12211.11
297,7.899600,7.899600,23.97,12235.07
298,7.899600,7.824200,24.67,12259.75
299,7.902400,7.902400,24.26,12284.01
