generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
174,5.225400,4.608000,18.65,5794.86,
175,5.225400,4.447800,17.58,5812.44,
176,5.225400,4.404600,17.20,5829.63,
177,5.225400,4.563800,17.48,5847.11,
178,5.225400,4.484000,17.99,5865.10,
179,5.225400,4.788400,18.63,5883.74,
180,5.225400,4.616000,106.23,5989.97,
181,5.225400,4.696000,17.83,6007.79,
182,5.225400,4.368600,17.64,6025.43,
183,5.225400,4.449400,17.62,6043.06,
184,5.225400,4.477200,17.84,6060.90,
185,5.225400,4.614800,17.73,6078.63,
186,5.225400,4.185200,17.53,6096.16,
187,5.225400,4.939400,17.98,6114.15,
188,5.225400,4.288200,17.90,6132.04,
189,5.225400,4.580800,18.08,6150.12,
190,5.225400,4.385000,105.75,6255.87,
191,5.225400,4.951200,17.66,6273.54,
192,5.225400,4.557600,37.82,6311.36,
193,5.225400,4.085600,17.46,6328.82,
194,5.225400,4.796400,17.45,6346.27,
195,5.225400,4.196200,17.63,6363.90,
196,5.225400,4.802800,17.55,6381.44,
197,5.225400,4.557000,18.38,6399.82,
198,5.225400,4.514600,18.11,6417.93,
199,5.225400,4.550000,17.70,6435.63,
200,5.225400,5.031200,109.68,6545.31,
201,5.225400,4.154800,18.02,6563.33,
202,5.225400,4.458000,17.39,6580.72,
203,5.225400,4.445000,17.84,6598.57,
204,5.225400,4.233200,17.70,6616.27,
205,5.225400,4.440600,18.00,6634.27,
206,5.225400,4.122800,17.39,6651.66,
207,5.225400,4.525000,17.32,6668.97,
208,5.225400,4.830200,17.73,6686.70,
209,5.225400,3.934200,17.68,6704.38,
210,5.225400,3.875600,111.68,6816.06,
211,5.225400,4.565200,17.76,6833.82,
212,5.225400,4.175400,17.45,6851.27,
213,5.225400,4.308600,17.72,6868.99,
214,5.225400,4.409800,17.61,6886.60,
215,5.225400,4.263400,17.71,6904.31,
216,5.225400,4.384800,17.70,6922.01,
217,5.225400,4.830400,17.51,6939.52,
218,5.225400,4.314800,17.57,6957.09,
219,5.225400,4.093800,17.52,6974.61,
