generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
134,7.287200,7.180800,23.92,7296.02,
135,7.287200,7.276800,24.13,7320.15,
136,7.287200,7.245800,30.24,7350.39,
137,7.287200,7.227800,24.30,7374.69,
138,7.287200,7.271600,24.15,7398.84,
139,7.320200,7.320200,23.99,7422.82,
140,7.320200,7.239800,128.43,7551.26,
141,7.320200,7.282800,25.01,7576.27,
142,7.320200,7.200400,24.50,7600.77,
143,7.320200,7.265400,24.18,7624.95,
144,7.320200,7.274000,31.34,7656.29,
145,7.320200,7.248800,24.35,7680.64,
146,7.320200,7.234800,24.00,7704.64,
147,7.320200,7.223400,24.45,7729.10,
148,7.355000,7.355000,24.03,7753.12,
149,7.355000,7.286600,24.06,7777.18,
150,7.355000,7.323800,126.72,7903.91,
151,7.355000,7.274000,24.72,7928.62,
152,7.355000,7.292200,30.88,7959.50,
153,7.355000,7.346800,24.29,7983.79,
154,7.355000,7.336000,24.38,8008.17,
155,7.355000,7.296800,24.33,8032.50,
156,7.355000,7.293200,24.25,8056.75,
157,7.355000,7.286400,24.26,8081.00,
158,7.403200,7.403200,24.14,8105.15,
159,7.403200,7.339600,24.12,8129.27,
160,7.403200,7.357000,145.25,8274.52,
161,7.403200,7.316600,24.90,8299.41,
162,7.403200,7.356800,24.50,8323.92,
163,7.433400,7.433400,24.11,8348.02,
164,7.433400,7.406000,24.12,8372.14,
165,7.433400,7.407800,24.06,8396.20,
166,7.433400,7.366400,24.07,8420.27,
167,7.433400,7.327400,24.16,8444.44,
168,7.433400,7.341000,30.85,8475.29,
169,7.433400,7.346800,24.41,8499.70,
170,7.433400,7.328600,129.37,8629.07,
171,7.433400,7.385600,24.93,8653.99,
172,7.433400,7.418000,24.43,8678.42,
173,7.433400,7.398000,24.51,8702.93,
174,7.433400,7.342600,24.35,8727.28,
175,7.433400,7.360200,23.95,8751.23,
176,7.433400,7.376200,30.61,8781.84,
177,7.433400,7.338000,24.04,8805.88,
178,7.433400,7.400600,23.84,8829.72,
179,7.437400,7.437400,24.37,8854.09,
180,7.437400,7.417200,132.12,8986.21,
181,7.437400,7.406200,24.73,9010.94,
182,7.437400,7.427800,24.07,9035.02,
183,7.437400,7.411800,24.20,9059.22,
184,7.437400,7.405200,30.66,9089.88,
185,7.486600,7.486600,24.52,9114.40,
186,7.486600,7.410200,24.36,9138.76,
187,7.486600,7.355800,24.51,9163.27,
188,7.486600,7.405400,24.34,9187.61,
189,7.486600,7.383400,24.19,9211.80,
190,7.486600,7.404000,129.02,9340.81,
191,7.486600,7.475600,25.10,9365.91,
192,7.486600,7.457000,30.84,9396.75,
193,7.486600,7.390400,24.29,9421.04,
194,7.512600,7.512600,24.17,9445.22,
195,7.520600,7.520600,24.75,9469.97,
